0,12,6,0,0,13,2,0,0,0,10,0,0,0,9,0
0,0,8,14,0,9,0,0,0,2,0,5,0,0,0,11
0,4,0,0,12,0,0,15,6,0,9,0,13,0,1,10
0,0,9,0,3,16,7,0,0,14,0,4,0,0,0,0
8,0,15,0,0,0,5,0,0,0,0,0,0,13,0,1
0,0,0,5,0,3,0,12,16,0,0,0,0,0,2,6
10,0,4,0,0,1,0,0,5,13,6,0,12,14,0,0
1,0,16,9,4,0,0,6,0,0,0,0,0,11,0,3
12,0,10,0,0,0,0,0,1,0,0,14,5,15,0,2
0,0,14,13,0,6,12,1,0,0,2,0,0,4,0,8
3,8,0,0,0,0,0,10,4,0,11,0,14,0,0,0
2,0,5,0,0,0,0,0,0,15,0,0,0,10,0,12
0,0,0,0,6,0,11,0,0,10,5,15,0,12,0,0
14,5,0,16,0,15,0,8,2,0,0,13,0,0,11,0
11,0,0,0,13,0,3,0,0,0,16,0,9,2,0,0
0,13,0,0,0,12,0,0,0,11,14,0,0,3,8,0
