8,0,0,0,12,0,5,0,0,9,0,15,0,0,0,4
15,0,14,0,8,4,0,0,0,0,16,12,0,13,0,7
0,0,7,0,16,9,0,0,0,0,14,6,0,10,0,0
1,0,0,6,0,0,0,3,2,0,0,0,11,0,0,16
3,0,11,0,0,0,0,0,0,0,0,0,0,15,0,5
0,0,0,0,0,10,9,8,11,14,2,0,0,0,0,0
14,0,2,0,6,0,0,7,8,0,0,3,0,4,0,12
6,0,0,0,15,16,13,0,0,1,7,4,0,0,0,3
13,0,0,0,2,0,0,9,16,0,0,11,0,0,0,6
0,6,0,0,0,13,0,0,0,0,12,0,0,0,4,0
0,3,0,1,0,11,0,0,0,0,13,0,2,0,14,0
0,0,0,8,14,0,12,0,0,6,0,9,13,0,0,0
0,0,0,0,11,0,14,16,15,12,0,5,0,0,0,0
0,0,13,0,0,15,1,0,0,3,4,0,0,16,0,0
12,4,0,15,0,0,7,0,0,11,0,0,8,0,2,14
0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0
